"Label","ID","Link cost","Link displacement","Link target IDs","Link target IDs","Link velocity","Adaxial","CellType","CellType","CellType","PSMc","PSMdtoSom","PSMdtoSomDiv","Position","Position","Position","Somite","Somite","Somite","Somite","Somite","TB","lateral"
"",""," "," ","Target spot id","Source spot id"," ","Tag","Adaxial","Lateral","Somitic","Tag","Tag","Tag","PSMd","PSMc","TB","S1","S2","S3","S4","S5","Tag","Tag"
"","","","(micron)","","","(micron/frame)","","","","","","","","","","","","","","","","",""
"2387 ? 2388","0","","1.4247583858227943","2387.0","2388.0","1.4247583858227943","0","0","0","1","0","0","1","1","0","0","0","0","1","0","0","0","0"
"2388 ? 2389","1","","0.0","2388.0","2389.0","0.0","0","0","0","1","0","0","1","1","0","0","0","0","1","0","0","0","0"
"2389 ? 2390","2","","0.0","2389.0","2390.0","0.0","0","0","0","1","0","0","1","1","0","0","0","0","1","0","0","0","0"
"2390 ? 2391","3","","0.47638955275143163","2390.0","2391.0","0.47638955275143163","0","0","0","1","0","0","1","1","0","0","0","0","1","0","0","0","0"
"2391 ? 2392","4","","1.6358542471815094","2391.0","2392.0","1.6358542471815094","0","0","0","1","0","0","1","1","0","0","0","0","1","0","0","0","0"
"2392 ? 2393","5","4.620123644851017","2.1494472882234206","2392.0","2393.0","2.1494472882234206","0","0","0","1","0","0","1","1","0","0","0","0","1","0","0","0","0"
"2393 ? 2394","6","0.242776778151393","0.4927238355827664","2393.0","2394.0","0.4927238355827664","0","0","0","1","0","0","1","1","0","0","0","0","1","0","0","0","0"
"2394 ? 2395","7","0.5062025402203513","0.7114791214226538","2394.0","2395.0","0.7114791214226538","0","0","0","1","0","0","1","1","0","0","0","0","1","0","0","0","0"
"2395 ? 2396","8","","0.0","2395.0","2396.0","0.0","0","0","0","1","0","0","1","1","0","0","0","0","1","0","0","0","0"
"2386 ? 2387","9","","1.9953431911304382","2386.0","2387.0","1.9953431911304382","0","0","0","1","0","0","1","1","0","0","0","0","1","0","0","0","0"
"78 ? 79","10","","0.0","78.0","79.0","0.0","0","0","0","1","0","0","1","1","0","0","0","0","0","1","0","0","0"
"79 ? 80","11","","0.0","79.0","80.0","0.0","0","0","0","1","0","0","1","1","0","0","0","0","0","1","0","0","0"
"80 ? 81","12","","0.0","80.0","81.0","0.0","0","0","0","1","0","0","1","1","0","0","0","0","0","1","0","0","0"
"81 ? 82","13","","0.0","81.0","82.0","0.0","0","0","0","1","0","0","1","1","0","0","0","0","0","1","0","0","0"
"82 ? 83","14","","1.345972915065953","82.0","83.0","1.345972915065953","0","0","0","1","0","0","1","1","0","0","0","0","0","1","0","0","0"
"83 ? 84","15","","0.0","83.0","84.0","0.0","0","0","0","1","0","0","1","1","0","0","0","0","0","1","0","0","0"
"84 ? 85","16","","0.8784189321162865","84.0","85.0","0.8784189321162865","0","0","0","1","0","0","1","1","0","0","0","0","0","1","0","0","0"
"85 ? 86","17","","0.0","85.0","86.0","0.0","0","0","0","1","0","0","1","1","0","0","0","0","0","1","0","0","0"
"86 ? 87","18","","0.9038856241220403","86.0","87.0","0.9038856241220403","0","0","0","1","0","0","1","1","0","0","0","0","0","1","0","0","0"
"87 ? 88","19","","0.0","87.0","88.0","0.0","0","0","0","1","0","0","1","1","0","0","0","0","0","1","0","0","0"
"88 ? 89","20","","0.45194281206100606","88.0","89.0","0.45194281206100606","0","0","0","1","0","0","1","1","0","0","0","0","0","1","0","0","0"
"89 ? 90","21","","0.0","89.0","90.0","0.0","0","0","0","1","0","0","1","1","0","0","0","0","0","1","0","0","0"
"90 ? 91","22","","0.0","90.0","91.0","0.0","0","0","0","1","0","0","1","1","0","0","0","0","0","1","0","0","0"
"91 ? 92","23","","0.0","91.0","92.0","0.0","0","0","0","1","0","0","1","1","0","0","0","0","0","1","0","0","0"
"92 ? 93","24","","0.0","92.0","93.0","0.0","0","0","0","1","0","0","1","1","0","0","0","0","0","1","0","0","0"
"93 ? 94","25","","0.0","93.0","94.0","0.0","0","0","0","1","0","0","1","1","0","0","0","0","0","1","0","0","0"
"94 ? 95","26","","2.9023669316871175","94.0","95.0","2.9023669316871175","0","0","0","1","0","0","1","1","0","0","0","0","0","1","0","0","0"
"94 ? 96","27","","5.998231318332888","94.0","96.0","5.998231318332888","0","0","0","1","0","0","1","1","0","0","0","0","0","1","0","0","0"
"95 ? 97","28","","1.353019687075266","95.0","97.0","1.353019687075266","0","0","0","1","0","0","1","1","0","0","0","0","0","1","0","0","0"
"97 ? 98","29","","0.9163536010141486","97.0","98.0","0.9163536010141486","0","0","0","1","0","0","1","1","0","0","0","0","0","1","0","0","0"
